시장,종목코드,종목명,업종,가격,당일등락률,시가총액,거래량,거래대금,1주수익률,1개월수익률,3개월수익률,6개월수익률,이상치상태,1단계점수,점수식버전
한국,067310,하나마이크론,Technology,46200,1.2,3071878147800,1706121,78283234600,32.1888,33.9130,-4.2487,41.5008,없음,2.62305417,MSS7-S1-1.0.0
한국,064760,티씨케이,Materials,286000,4.95,3197312976000,48692,13745289250,5.9259,25.7143,10.8527,24.3478,없음,2.61756537,MSS7-S1-1.0.0
한국,069920,엑시온그룹,Consumer,1254,3.98,28458800172,190293,237350483,9.5197,26.6667,25.5255,194.3662,없음,2.61474133,MSS7-S1-1.0.0
한국,086670,비엠티,Industrials,19310,2.99,191668839350,72907,1391517975,16.0457,27.7962,28.5619,35.9859,없음,2.61268385,MSS7-S1-1.0.0
한국,340450,지씨지놈,Other,8180,12.21,193463486740,1188856,9428923255,21.5453,51.7625,83.2027,9.7987,없음,2.59495934,MSS7-S1-1.0.0
한국,161890,한국콜마,Materials,147000,0.62,3469946319000,274025,40522592900,-2.0000,2.5820,70.1389,87.9795,없음,2.57928038,MSS7-S1-1.0.0
한국,093520,매커스,Industrials,29250,3.17,348128732250,35840,1042085550,10.7955,16.3022,71.9577,24.7335,없음,2.57603129,MSS7-S1-1.0.0
한국,446540,메가터치,Other,10900,15.47,316962309900,3520445,38921530020,21.7877,53.5211,86.9640,166.1783,미검증,2.54637825,MSS7-S1-1.0.0
한국,042370,비츠로테크,Financials,10650,-2.92,279030266250,1606016,17549924125,21.0227,32.4627,10.3627,-8.1897,없음,2.48867109,MSS7-S1-1.0.0
한국,006340,대원전선,Other,13490,-1.24,1057810471840,1548933,21037840590,5.8870,4.7360,20.6619,146.1679,없음,2.48699229,MSS7-S1-1.0.0
한국,005160,동국산업,Materials,3495,-5.03,189584464590,636036,2210599615,0.1433,41.2121,49.6788,10.0787,없음,2.48457789,MSS7-S1-1.0.0
한국,036810,에프에스티,Technology,31200,3.31,675473416800,135388,4182082600,19.3117,38.0531,18.1818,-26.0664,없음,2.47135552,MSS7-S1-1.0.0
한국,033640,네패스,Technology,27600,0.36,636433975200,175288,4802065350,12.1951,43.9750,-2.1277,49.6746,없음,2.45336657,MSS7-S1-1.0.0
한국,216080,제테마,Healthcare,7190,1.13,268094241810,107929,781829760,3.0086,38.2692,58.7196,-10.5721,없음,2.45111971,MSS7-S1-1.0.0
한국,004710,한솔테크닉스,Technology,9900,0.92,525130818300,473104,4753237480,11.1111,46.0177,-15.8879,105.6075,없음,2.44902126,MSS7-S1-1.0.0
한국,180640,한진칼,Financials,140100,-2.37,9353394727500,70054,9869157150,3.3186,15.3086,22.8947,15.4988,없음,2.44458374,MSS7-S1-1.0.0
한국,000990,DB하이텍,Technology,132000,0.99,5742605616000,413298,54022998350,5.6000,51.5499,-13.3858,58.2734,없음,2.43989484,MSS7-S1-1.0.0
한국,052690,한전기술,Other,130400,-5.58,4983888000000,486579,64058490650,-3.6928,44.4075,19.3047,-17.3638,없음,2.43100903,MSS7-S1-1.0.0
한국,001440,대한전선,Other,30950,-2.06,6065970846200,3032595,94512213125,10.9319,15.9176,-9.3704,6.9085,없음,2.42912047,MSS7-S1-1.0.0
