시장,종목코드,종목명,업종,1단계선별점수,2단계선별점수,지속성,업종내상대순위,추가검증,산식버전
미국,WFC,Wells Fargo & Company Common Stock,Finance,0.9593442002,0.9001403275,광역 다기간자료 없음,0.9000,당일안정성=1.00;달러거래대금순위 사용,MSS7.1-S2-US-1.0.0
미국,AMAT,Applied Materials Inc. Common Stock,Technology,0.9492323730,0.8989230157,광역 다기간자료 없음,0.7419,당일안정성=1.00;달러거래대금순위 사용,MSS7.1-S2-US-1.0.0
미국,PFE,Pfizer Inc. Common Stock,Health Care,0.9644143290,0.8920972744,광역 다기간자료 없음,0.8571,당일안정성=1.00;달러거래대금순위 사용,MSS7.1-S2-US-1.0.0
미국,MRNA,Moderna Inc. Common Stock,Health Care,0.9825530705,0.8908465305,광역 다기간자료 없음,0.9714,당일안정성=0.20;달러거래대금순위 사용,MSS7.1-S2-US-1.0.0
미국,MSFT,Microsoft Corporation Common Stock,Technology,0.9408263836,0.8901995765,광역 다기간자료 없음,0.6290,당일안정성=1.00;달러거래대금순위 사용,MSS7.1-S2-US-1.0.0
미국,CVX,Chevron Corporation Common Stock,Energy,0.9593442002,0.8875873732,광역 다기간자료 없음,0.6667,당일안정성=1.00;달러거래대금순위 사용,MSS7.1-S2-US-1.0.0
미국,APH,Amphenol Corporation Common Stock,Technology,0.9695413192,0.8864105344,광역 다기간자료 없음,0.8226,당일안정성=1.00;달러거래대금순위 사용,MSS7.1-S2-US-1.0.0
미국,DIS,Walt Disney Company (The) Common Stock,Consumer Discretionary,0.9749336619,0.8852777157,광역 다기간자료 없음,0.9636,당일안정성=0.80;달러거래대금순위 사용,MSS7.1-S2-US-1.0.0
미국,RCL,Royal Caribbean Cruises Ltd. Common Stock,Consumer Discretionary,0.9736637604,0.8824445284,광역 다기간자료 없음,0.9455,당일안정성=0.50;달러거래대금순위 사용,MSS7.1-S2-US-1.0.0
미국,TJX,TJX Companies Inc. (The) Common Stock,Consumer Discretionary,0.9491849886,0.8790740997,광역 다기간자료 없음,0.8000,당일안정성=1.00;달러거래대금순위 사용,MSS7.1-S2-US-1.0.0
미국,COST,Costco Wholesale Corporation Common Stock,Consumer Discretionary,0.9291603487,0.8737927010,광역 다기간자료 없음,0.6364,당일안정성=1.00;달러거래대금순위 사용,MSS7.1-S2-US-1.0.0
미국,BMY,Bristol-Myers Squibb Company Common Stock,Health Care,0.9586334344,0.8717581888,광역 다기간자료 없음,0.8000,당일안정성=1.00;달러거래대금순위 사용,MSS7.1-S2-US-1.0.0
미국,MRK,Merck & Company Inc. Common Stock (new),Health Care,0.9469579227,0.8714627167,광역 다기간자료 없음,0.6571,당일안정성=1.00;달러거래대금순위 사용,MSS7.1-S2-US-1.0.0
미국,WELL,Welltower Inc. Common Stock,Real Estate,0.9691717210,0.8702714792,광역 다기간자료 없음,1.0000,당일안정성=0.80;달러거래대금순위 사용,MSS7.1-S2-US-1.0.0
미국,DDOG,Datadog Inc. Class A Common Stock,Technology,0.9712471569,0.8702519095,광역 다기간자료 없음,0.8710,당일안정성=0.80;달러거래대금순위 사용,MSS7.1-S2-US-1.0.0
미국,MCD,McDonald's Corporation Common Stock,Consumer Discretionary,0.9315674754,0.8672613905,광역 다기간자료 없음,0.6545,당일안정성=1.00;달러거래대금순위 사용,MSS7.1-S2-US-1.0.0
미국,GE,GE Aerospace Common Stock,Technology,0.9460102350,0.8661111699,광역 다기간자료 없음,0.7097,당일안정성=1.00;달러거래대금순위 사용,MSS7.1-S2-US-1.0.0
미국,CTAS,Cintas Corporation Common Stock,Industrials,0.9685652009,0.8653481679,광역 다기간자료 없음,0.9535,당일안정성=0.80;달러거래대금순위 사용,MSS7.1-S2-US-1.0.0
미국,PWR,Quanta Services Inc. Common Stock,Industrials,0.9616186505,0.8651835961,광역 다기간자료 없음,0.9302,당일안정성=1.00;달러거래대금순위 사용,MSS7.1-S2-US-1.0.0
미국,BLK,BlackRock Inc. Common Stock,Finance,0.9627558757,0.8643545265,광역 다기간자료 없음,0.9500,당일안정성=1.00;달러거래대금순위 사용,MSS7.1-S2-US-1.0.0
미국,CAT,Caterpillar Inc. Common Stock,Industrials,0.9292456406,0.8621105702,광역 다기간자료 없음,0.6279,당일안정성=1.00;달러거래대금순위 사용,MSS7.1-S2-US-1.0.0
미국,COP,ConocoPhillips Common Stock,Energy,0.9624810462,0.8602817717,광역 다기간자료 없음,0.8333,당일안정성=1.00;달러거래대금순위 사용,MSS7.1-S2-US-1.0.0
미국,MRVL,Marvell Technology Inc. Common Stock,Technology,0.9311978772,0.8600104177,광역 다기간자료 없음,0.5323,당일안정성=1.00;달러거래대금순위 사용,MSS7.1-S2-US-1.0.0
미국,KLAC,KLA Corporation Common Stock,Technology,0.9365049280,0.8553816041,광역 다기간자료 없음,0.6129,당일안정성=1.00;달러거래대금순위 사용,MSS7.1-S2-US-1.0.0
미국,COF,Capital One Financial Corporation Common Stock,Finance,0.9497630781,0.8549317063,광역 다기간자료 없음,0.8250,당일안정성=1.00;달러거래대금순위 사용,MSS7.1-S2-US-1.0.0
