market,symbol,name,level1_score,direct_trend_evidence,liquidity_evidence,status
US,DAL,Delta Air Lines Inc. Common Stock,0.929354,bulk_daily_change=1.235;cross_section_score=0.929354,volume=6256485;market_cap=54424881963,L2_PASS
US,KR,Kroger Company (The) Common Stock,0.929332,bulk_daily_change=2.221;cross_section_score=0.929332,volume=8089118;market_cap=34797486204,L2_PASS
US,KO,Coca-Cola Company (The) Common Stock,0.927303,bulk_daily_change=0.011;cross_section_score=0.927303,volume=13169076;market_cap=379054588308,L2_PASS
US,XYZ,Block Inc. Class A Common Stock,0.927290,bulk_daily_change=2.758;cross_section_score=0.927290,volume=3654550;market_cap=46105008300,L2_PASS
US,COIN,Coinbase Global Inc. Class A Common Stock,0.926943,bulk_daily_change=0.545;cross_section_score=0.926943,volume=7383844;market_cap=52558953431,L2_PASS
US,SYY,Sysco Corporation Common Stock,0.926589,bulk_daily_change=1.361;cross_section_score=0.926589,volume=6855586;market_cap=38462752532,L2_PASS
US,AZO,AutoZone Inc. Common Stock,0.926453,bulk_daily_change=0.647;cross_section_score=0.926453,volume=481887;market_cap=46719084671,L2_PASS
US,PH,Parker-Hannifin Corporation Common Stock,0.926397,bulk_daily_change=0.388;cross_section_score=0.926397,volume=552302;market_cap=122957082377,L2_PASS
US,ABBV,AbbVie Inc. Common Stock,0.926194,bulk_daily_change=0.015;cross_section_score=0.926194,volume=3458170;market_cap=468498134599,L2_PASS
US,ISRG,Intuitive Surgical Inc. Common Stock,0.926016,bulk_daily_change=0.306;cross_section_score=0.926016,volume=1565480;market_cap=141141641742,L2_PASS
US,BNY,The Bank of New York Mellon Corporation Common Stock,0.925993,bulk_daily_change=0.455;cross_section_score=0.925993,volume=3544771;market_cap=101904537087,L2_PASS
US,EMR,Emerson Electric Company Common Stock,0.925731,bulk_daily_change=1.003;cross_section_score=0.925731,volume=2071934;market_cap=87094892000,L2_PASS
US,COF,Capital One Financial Corporation Common Stock,0.925409,bulk_daily_change=0.26;cross_section_score=0.925409,volume=3688181;market_cap=120617253606,L2_PASS
US,WBD,Warner Bros. Discovery Inc. Series A Common Stock,0.925309,bulk_daily_change=0.26;cross_section_score=0.925309,volume=46110292;market_cap=77430090204,L2_PASS
US,VEEV,Veeva Systems Inc. Class A Common Stock,0.925020,bulk_daily_change=1.511;cross_section_score=0.925020,volume=1380053;market_cap=44499028334,L2_PASS
US,ALL,Allstate Corporation (The) Common Stock,0.924513,bulk_daily_change=0.669;cross_section_score=0.924513,volume=2967263;market_cap=57441740502,L2_PASS
US,HUM,Humana Inc. Common Stock,0.923627,bulk_daily_change=1.478;cross_section_score=0.923627,volume=899024;market_cap=45668942739,L2_PASS
US,CAH,Cardinal Health Inc. Common Stock,0.923117,bulk_daily_change=0.61;cross_section_score=0.923117,volume=3480951;market_cap=51549741384,L2_PASS
US,TJX,TJX Companies Inc. (The) Common Stock,0.922844,bulk_daily_change=0.03;cross_section_score=0.922844,volume=8134248;market_cap=144789585649,L2_PASS
US,FIX,Comfort Systems USA Inc. Common Stock,0.922837,bulk_daily_change=1.076;cross_section_score=0.922837,volume=218394;market_cap=57838008335,L2_PASS
US,KEYS,Keysight Technologies Inc. Common Stock,0.922315,bulk_daily_change=1.183;cross_section_score=0.922315,volume=845305;market_cap=60869306127,L2_PASS
US,EQT,EQT Corporation Common Stock,0.921805,bulk_daily_change=1.586;cross_section_score=0.921805,volume=8136207;market_cap=32445514920,L2_PASS
US,EOG,EOG Resources Inc. Common Stock,0.921479,bulk_daily_change=0.719;cross_section_score=0.921479,volume=2672414;market_cap=74934238083,L2_PASS
US,STT,State Street Corporation Common Stock,0.921230,bulk_daily_change=0.634;cross_section_score=0.921230,volume=3492741;market_cap=49745742624,L2_PASS
US,LRCX,Lam Research Corporation Common Stock,0.920712,bulk_daily_change=-0.039;cross_section_score=0.920712,volume=7904001;market_cap=384355758360,L2_PASS
US,CIEN,Ciena Corporation Common Stock,0.920427,bulk_daily_change=0.708;cross_section_score=0.920427,volume=1421174;market_cap=50828429616,L2_PASS
US,AMAT,Applied Materials Inc. Common Stock,0.920380,bulk_daily_change=-0.027;cross_section_score=0.920380,volume=4165383;market_cap=376363587343,L2_PASS
US,HWM,Howmet Aerospace Inc. Common Stock,0.919415,bulk_daily_change=0.262;cross_section_score=0.919415,volume=2228095;market_cap=91477064903,L2_PASS
US,TRV,The Travelers Companies Inc. Common Stock,0.918871,bulk_daily_change=0.555;cross_section_score=0.918871,volume=1053647;market_cap=75585502223,L2_PASS
US,ICE,Intercontinental Exchange Inc. Common Stock,0.918723,bulk_daily_change=0.371;cross_section_score=0.918723,volume=2683552;market_cap=88099636845,L2_PASS
US,EXPE,Expedia Group Inc. Common Stock,0.918505,bulk_daily_change=1.046;cross_section_score=0.918505,volume=2276975;market_cap=29969299469,L2_PASS
US,MRK,Merck & Company Inc. Common Stock (new),0.918233,bulk_daily_change=-0.068;cross_section_score=0.918233,volume=10312766;market_cap=365092058991,L2_PASS
US,ROST,Ross Stores Inc. Common Stock,0.918037,bulk_daily_change=0.607;cross_section_score=0.918037,volume=1454504;market_cap=75199262094,L2_PASS
US,GE,GE Aerospace Common Stock,0.917963,bulk_daily_change=-0.006;cross_section_score=0.917963,volume=3728020;market_cap=331791740407,L2_PASS
US,AME,AMETEK Inc.,0.917869,bulk_daily_change=0.523;cross_section_score=0.917869,volume=1992119;market_cap=56797180589,L2_PASS
US,LYV,Live Nation Entertainment Inc. Common Stock,0.917196,bulk_daily_change=1.201;cross_section_score=0.917196,volume=1936698;market_cap=40307528092,L2_PASS
